algoritmo,caso,tamanho,comparacoes,trocas
heap_sort,medio,1,0.0,0.0
heap_sort,medio,4,6.65,6.35
heap_sort,medio,16,80.85,52.35
heap_sort,medio,64,571.6,330.2
heap_sort,medio,256,3306.1,1824.7
heap_sort,medio,1024,17324.7,9336.45
heap_sort,medio,4096,85660.65,45498.55
heap_sort,medio,16384,408178.95,214767.1
heap_sort,medio,65536,1894774.55,990073.4
heap_sort,medio,262144,8627922.15,4484772.5
heap_sort,medio,1048576,38705714.95,20035895.85
heap_sort,melhor,1,0.0,0.0
heap_sort,melhor,4,7.0,8.0
heap_sort,melhor,16,85.0,58.0
heap_sort,melhor,64,593.0,362.0
heap_sort,melhor,256,3452.0,1972.0
heap_sort,melhor,1024,18060.0,9968.0
heap_sort,melhor,4096,88835.0,48360.0
heap_sort,melhor,16384,421566.0,226058.0
heap_sort,melhor,65536,1948406.0,1034492.0
heap_sort,melhor,262144,8849195.0,4664612.0
heap_sort,melhor,1048576,39624024.0,20803884.0
heap_sort,pior,1,0.0,0.0
heap_sort,pior,4,6.0,4.0
heap_sort,pior,16,72.0,42.0
heap_sort,pior,64,525.0,288.0
heap_sort,pior,256,3106.0,1642.0
heap_sort,pior,1024,16407.0,8542.0
heap_sort,pior,4096,82304.0,42530.0
heap_sort,pior,16384,394520.0,203032.0
heap_sort,pior,65536,1839970.0,941220.0
heap_sort,pior,262144,8397651.0,4287044.0
heap_sort,pior,1048576,37875507.0,19292288.0
insertion_sort,medio,1,0.0,0.0
insertion_sort,medio,10,31.1,33.2
insertion_sort,medio,50,665.5,668.9
insertion_sort,medio,100,2514.55,2518.5
insertion_sort,medio,500,62563.15,62569.35
insertion_sort,medio,1000,250969.85,250976.55
insertion_sort,medio,5000,6289278.35,6289286.0
insertion_sort,medio,10000,24886834.15,24886842.8
insertion_sort,medio,20000,99905686.25,99905696.2
insertion_sort,medio,50000,624832821.6,624832831.45
insertion_sort,melhor,1,0.0,0.0
insertion_sort,melhor,10,9.0,9.0
insertion_sort,melhor,50,49.0,49.0
insertion_sort,melhor,100,99.0,99.0
insertion_sort,melhor,500,499.0,499.0
insertion_sort,melhor,1000,999.0,999.0
insertion_sort,melhor,5000,4999.0,4999.0
insertion_sort,melhor,10000,9999.0,9999.0
insertion_sort,melhor,20000,19999.0,19999.0
insertion_sort,melhor,50000,49999.0,49999.0
insertion_sort,pior,1,0.0,0.0
insertion_sort,pior,10,45.0,54.0
insertion_sort,pior,50,1225.0,1274.0
insertion_sort,pior,100,4950.0,5049.0
insertion_sort,pior,500,124750.0,125249.0
insertion_sort,pior,1000,499500.0,500499.0
insertion_sort,pior,5000,12497500.0,12502499.0
insertion_sort,pior,10000,49995000.0,50004999.0
insertion_sort,pior,20000,199990000.0,200009999.0
insertion_sort,pior,50000,1249975000.0,1250024999.0
merge_sort,medio,1,0.0,0.0
merge_sort,medio,4,4.7,8.0
merge_sort,medio,16,46.1,64.0
merge_sort,medio,64,304.4,384.0
merge_sort,medio,256,1726.6,2048.0
merge_sort,medio,1024,8952.55,10240.0
merge_sort,medio,4096,43989.0,49152.0
merge_sort,medio,16384,208670.05,229376.0
merge_sort,medio,65536,965687.35,1048576.0
merge_sort,medio,262144,4387176.9,4718592.0
merge_sort,medio,1048576,19645716.2,20971520.0
merge_sort,melhor,1,0.0,0.0
merge_sort,melhor,4,4.0,8.0
merge_sort,melhor,16,32.0,64.0
merge_sort,melhor,64,192.0,384.0
merge_sort,melhor,256,1024.0,2048.0
merge_sort,melhor,1024,5120.0,10240.0
merge_sort,melhor,4096,24576.0,49152.0
merge_sort,melhor,16384,114688.0,229376.0
merge_sort,melhor,65536,524288.0,1048576.0
merge_sort,melhor,262144,2359296.0,4718592.0
merge_sort,melhor,1048576,10485760.0,20971520.0
merge_sort,pior,1,0.0,0.0
merge_sort,pior,4,4.0,8.0
merge_sort,pior,16,32.0,64.0
merge_sort,pior,64,192.0,384.0
merge_sort,pior,256,1024.0,2048.0
merge_sort,pior,1024,5120.0,10240.0
merge_sort,pior,4096,24576.0,49152.0
merge_sort,pior,16384,114688.0,229376.0
merge_sort,pior,65536,524288.0,1048576.0
merge_sort,pior,262144,2359296.0,4718592.0
merge_sort,pior,1048576,10485760.0,20971520.0
quick_sort,medio,1,0.0,0.0
quick_sort,medio,4,5.15,7.15
quick_sort,medio,16,50.85,47.5
quick_sort,medio,64,362.3,253.9
quick_sort,medio,256,2166.15,1402.2
quick_sort,medio,1024,11388.85,7186.45
quick_sort,medio,4096,57525.55,33832.85
quick_sort,medio,16384,272451.8,157810.6
quick_sort,medio,65536,1270842.95,726785.1
