algoritmo,caso,tamanho,tempo_execucao_n,tempo_execucao_media,tempo_execucao_std,tempo_execucao_min,tempo_execucao_max,tempo_execucao_mediana,tempo_execucao_q1,tempo_execucao_q3,comparacoes_n,comparacoes_media,comparacoes_std,comparacoes_min,comparacoes_max,comparacoes_mediana,comparacoes_q1,comparacoes_q3,trocas_n,trocas_media,trocas_std,trocas_min,trocas_max,trocas_mediana,trocas_q1,trocas_q3,cpu_pico_n,cpu_pico_media,cpu_pico_std,cpu_pico_min,cpu_pico_max,cpu_pico_mediana,cpu_pico_q1,cpu_pico_q3
heap_sort,medio,1,20.0,6.249992293305695e-06,3.756049235496898e-06,2.500019036233425e-06,1.550000160932541e-05,4.950008587911725e-06,3.4499680623412132e-06,7.174996426329017e-06,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,medio,4,20.0,1.4339995686896145e-05,1.5332265091866242e-05,6.399990525096655e-06,6.559997564181685e-05,9.69998654909432e-06,7.574999472126365e-06,1.2599979527294637e-05,20.0,6.65,0.4893604849295929,6.0,7.0,7.0,6.0,7.0,20.0,6.35,0.9880869341680841,4.0,8.0,6.0,6.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,medio,16,20.0,3.8919993676245214e-05,1.5401347624243875e-05,2.400000812485814e-05,9.429996134713292e-05,3.724999260157347e-05,2.8799986466765404e-05,3.9749997085891664e-05,20.0,80.85,1.5652475842498528,78.0,84.0,81.0,79.75,82.0,20.0,52.35,1.8144159564878983,49.0,56.0,52.0,51.0,53.25,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,medio,64,20.0,0.00016180000384333,3.4930984389280795e-05,0.0001185999717563,0.000208500016015,0.0001648500037845,0.000126524988445425,0.00019625002460085,20.0,571.6,5.1748379074538216,562.0,580.0,571.5,568.5,575.0,20.0,330.2,4.237675629026142,322.0,335.0,330.0,327.75,334.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,medio,256,20.0,0.000853610000922295,0.00015447239493062055,0.0006652000010944,0.0010829000384546,0.00079585000639775,0.0007201499684015001,0.001018399998429175,20.0,3306.1,18.741735020508305,3275.0,3346.0,3304.5,3294.0,3318.25,20.0,1824.7,12.970005884022529,1801.0,1849.0,1823.0,1815.0,1837.0,20.0,0.00078125,0.003493856214843421,0.0,0.015625,0.0,0.0,0.0
heap_sort,medio,1024,20.0,0.00408013000851492,0.0004220540366932962,0.0036313000018708,0.0054094999795779,0.00396670002373865,0.003808574998401975,0.004099150028196125,20.0,17324.7,31.271476830458372,17270.0,17396.0,17326.5,17307.25,17339.75,20.0,9336.45,24.19324612148475,9294.0,9395.0,9338.5,9322.0,9350.25,20.0,0.0015625,0.00480927352539916,0.0,0.015625,0.0,0.0,0.0
heap_sort,medio,4096,20.0,0.018642199996975195,0.0005859997379229587,0.0174931000219658,0.0197908999980427,0.01862540000001895,0.0182381749618798,0.018954800019855528,20.0,85660.65,53.09105881705308,85549.0,85760.0,85665.0,85640.0,85698.25,20.0,45498.55,53.27927907683595,45414.0,45610.0,45497.0,45461.25,45531.5,20.0,0.0171875,0.0069877124296868435,0.0,0.03125,0.015625,0.015625,0.015625
heap_sort,medio,16384,20.0,0.09865382000571113,0.015650327578726086,0.0829572000075131,0.144915500015486,0.0920142999966628,0.08731992501998317,0.10549567501584528,20.0,408178.95,133.96443950777228,407951.0,408403.0,408187.5,408083.5,408269.75,20.0,214767.1,85.7572461262481,214570.0,214876.0,214786.5,214714.5,214827.25,20.0,0.096875,0.015707021560938582,0.078125,0.140625,0.09375,0.09375,0.09765625
heap_sort,medio,65536,20.0,0.3878601100033848,0.0306546298434516,0.3526772999903187,0.4803408000152558,0.3794548999867402,0.3679126750066643,0.3959518000046955,20.0,1894774.55,242.34088105719792,1894277.0,1895132.0,1894821.0,1894583.5,1894917.5,20.0,990073.4,160.03335178709008,989795.0,990364.0,990051.5,989928.75,990196.75,20.0,0.378125,0.027110731755446763,0.34375,0.453125,0.375,0.359375,0.390625
heap_sort,medio,262144,20.0,1.8063473499933025,0.2137661125760898,1.5759366999845952,2.250912899966352,1.7259271999937482,1.6752180500043323,1.9058005749975562,20.0,8627922.15,520.1714570570382,8626789.0,8628555.0,8628055.0,8627569.75,8628384.75,20.0,4484772.5,305.3740588024361,4484254.0,4485308.0,4484845.0,4484526.75,4484995.5,20.0,1.79453125,0.25825569959510136,1.484375,2.484375,1.6875,1.63671875,1.875
heap_sort,medio,1048576,20.0,8.090789050012244,0.3149735020397491,7.746428500046022,9.154708700021729,8.005021899996791,7.953624475005199,8.169776250011637,20.0,38705714.95,978.0616962027228,38704028.0,38707365.0,38705513.0,38705160.5,38706296.5,20.0,20035895.85,665.9010733387387,20034508.0,20037036.0,20035854.5,20035441.5,20036474.25,20.0,8.0203125,0.3158170989150291,7.65625,9.078125,7.9453125,7.88671875,8.08203125
heap_sort,melhor,1,20.0,0.0007510850060498337,0.0033255582215991103,4.399975296109915e-06,0.0148798000300303,5.850044544786215e-06,5.249996320344508e-06,7.675000233575702e-06,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.00078125,0.003493856214843421,0.0,0.015625,0.0,0.0,0.0
heap_sort,melhor,4,20.0,1.929000427480787e-05,1.0500617733795022e-05,8.90000956133008e-06,4.39999857917428e-05,1.4749995898455381e-05,1.2975026038475335e-05,1.8674982129596174e-05,20.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,20.0,8.0,0.0,8.0,8.0,8.0,8.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,melhor,16,20.0,4.211501218378544e-05,9.480571730486495e-06,2.7499976567924023e-05,6.009999196976423e-05,4.255003295838833e-05,3.727500734385104e-05,4.6424989704973996e-05,20.0,85.0,0.0,85.0,85.0,85.0,85.0,85.0,20.0,58.0,0.0,58.0,58.0,58.0,58.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,melhor,64,20.0,0.000245494997943705,0.00017128451232527032,0.0001572999753989,0.0009554999996908,0.0002073000068776,0.000179225025931325,0.00022537496988652502,20.0,593.0,0.0,593.0,593.0,593.0,593.0,593.0,20.0,362.0,0.0,362.0,362.0,362.0,362.0,362.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,melhor,256,20.0,0.0010314050014130348,0.00023637926876228456,0.0008045000140555,0.0014003000105731,0.00085969999781805,0.000820174973341575,0.0012611499842023251,20.0,3452.0,0.0,3452.0,3452.0,3452.0,3452.0,3452.0,20.0,1972.0,0.0,1972.0,1972.0,1972.0,1972.0,1972.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,melhor,1024,20.0,0.006369399986579034,0.001454217672074591,0.0042400999809615,0.0087325999629683,0.0065452499839011,0.004874849983025301,0.007410799997160175,20.0,18060.0,0.0,18060.0,18060.0,18060.0,18060.0,18060.0,20.0,9968.0,0.0,9968.0,9968.0,9968.0,9968.0,9968.0,20.0,0.00625,0.007853510780469291,0.0,0.015625,0.0,0.0,0.015625
heap_sort,melhor,4096,20.0,0.03288088999979658,0.004483595325568327,0.0258772000088356,0.0453426999738439,0.031676399987190906,0.030093325010966426,0.03519765002420165,20.0,88835.0,0.0,88835.0,88835.0,88835.0,88835.0,88835.0,20.0,48360.0,0.0,48360.0,48360.0,48360.0,48360.0,48360.0,20.0,0.02734375,0.011192974990802795,0.0,0.046875,0.03125,0.03125,0.03125
heap_sort,melhor,16384,20.0,0.1312323849968379,0.015798782557340352,0.1117076000082306,0.1688440999714657,0.13047500001266593,0.12011657499533605,0.13972177497635124,20.0,421566.0,0.0,421566.0,421566.0,421566.0,421566.0,421566.0,20.0,226058.0,0.0,226058.0,226058.0,226058.0,226058.0,226058.0,20.0,0.12578125,0.01640722898081658,0.09375,0.15625,0.125,0.109375,0.140625
heap_sort,melhor,65536,20.0,0.48723524999513756,0.056036748853965875,0.4005775999976322,0.6317517999559641,0.48613554998883046,0.4451863750291522,0.5098455249972176,20.0,1948406.0,0.0,1948406.0,1948406.0,1948406.0,1948406.0,1948406.0,20.0,1034492.0,0.0,1034492.0,1034492.0,1034492.0,1034492.0,1034492.0,20.0,0.47890625,0.057415511082188814,0.390625,0.640625,0.46875,0.4375,0.50390625
heap_sort,melhor,262144,20.0,1.9491841200040654,0.20913135126075472,1.551199700043071,2.3869502000161447,1.9217724000045564,1.848845899963635,2.1014397249673498,20.0,8849195.0,0.0,8849195.0,8849195.0,8849195.0,8849195.0,8849195.0,20.0,4664612.0,0.0,4664612.0,4664612.0,4664612.0,4664612.0,4664612.0,20.0,1.9203125,0.20628862277924565,1.546875,2.359375,1.90625,1.7890625,2.07421875
heap_sort,melhor,1048576,20.0,7.950783534999937,0.6482742038977676,7.385968099988531,9.78072159999283,7.713378849992296,7.549262399988947,7.9909821000183,20.0,39624024.0,0.0,39624024.0,39624024.0,39624024.0,39624024.0,39624024.0,20.0,20803884.0,0.0,20803884.0,20803884.0,20803884.0,20803884.0,20803884.0,20.0,7.85390625,0.6050957838963553,7.3125,9.546875,7.59375,7.46875,7.93359375
heap_sort,pior,1,20.0,9.069996303878725e-06,4.232589416641687e-06,4.499976057559252e-06,2.2899999748915437e-05,8.400005754083395e-06,5.8250006986781955e-06,1.0925010428763926e-05,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,pior,4,20.0,1.718499988783151e-05,1.0335347677599538e-05,9.100011084228754e-06,5.850003799423576e-05,1.4749995898455381e-05,1.230002089869231e-05,1.7600017599761486e-05,20.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,20.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,pior,16,20.0,3.9004985592328015e-05,6.650639235839917e-06,2.7799978852272037e-05,5.479995161294937e-05,3.724999260157347e-05,3.462497261352837e-05,4.1674968088045716e-05,20.0,72.0,0.0,72.0,72.0,72.0,72.0,72.0,20.0,42.0,0.0,42.0,42.0,42.0,42.0,42.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heap_sort,pior,64,20.0,0.00021125500206830498,6.010062301210051e-05,0.0001174999633803,0.0003328999737277,0.00021879997802895,0.000166449986863825,0.00023772503482169999,20.0,525.0,0.0,525.0,525.0,525.0,525.0,525.0,20.0,288.0,0.0,288.0,288.0,288.0,288.0,288.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
