algoritmo,caso,tamanho,cpu_pico
heap_sort,medio,1,0.0
heap_sort,medio,4,0.0
heap_sort,medio,16,0.0
heap_sort,medio,64,0.0
heap_sort,medio,256,0.00078125
heap_sort,medio,1024,0.0015625
heap_sort,medio,4096,0.0171875
heap_sort,medio,16384,0.096875
heap_sort,medio,65536,0.378125
heap_sort,medio,262144,1.79453125
heap_sort,medio,1048576,8.0203125
heap_sort,melhor,1,0.00078125
heap_sort,melhor,4,0.0
heap_sort,melhor,16,0.0
heap_sort,melhor,64,0.0
heap_sort,melhor,256,0.0
heap_sort,melhor,1024,0.00625
heap_sort,melhor,4096,0.02734375
heap_sort,melhor,16384,0.12578125
heap_sort,melhor,65536,0.47890625
heap_sort,melhor,262144,1.9203125
heap_sort,melhor,1048576,7.85390625
heap_sort,pior,1,0.0
heap_sort,pior,4,0.0
heap_sort,pior,16,0.0
heap_sort,pior,64,0.0
heap_sort,pior,256,0.0
heap_sort,pior,1024,0.00546875
heap_sort,pior,4096,0.0296875
heap_sort,pior,16384,0.11875
heap_sort,pior,65536,0.3859375
heap_sort,pior,262144,1.4921875
heap_sort,pior,1048576,6.84296875
insertion_sort,medio,1,0.0
insertion_sort,medio,10,0.0
insertion_sort,medio,50,0.0
insertion_sort,medio,100,0.0
insertion_sort,medio,500,0.009375
insertion_sort,medio,1000,0.04140625
insertion_sort,medio,5000,0.72265625
insertion_sort,medio,10000,3.04765625
insertion_sort,medio,20000,10.8828125
insertion_sort,medio,50000,60.181249999999956
insertion_sort,melhor,1,0.00078125
insertion_sort,melhor,10,0.0
insertion_sort,melhor,50,0.0
insertion_sort,melhor,100,0.0
insertion_sort,melhor,500,0.0
insertion_sort,melhor,1000,0.0
insertion_sort,melhor,5000,0.0
insertion_sort,melhor,10000,0.00078125
insertion_sort,melhor,20000,0.0015625
insertion_sort,melhor,50000,0.00625
insertion_sort,pior,1,0.0
insertion_sort,pior,10,0.0
insertion_sort,pior,50,0.0
insertion_sort,pior,100,0.0
insertion_sort,pior,500,0.01015625
insertion_sort,pior,1000,0.05078125
insertion_sort,pior,5000,1.18046875
insertion_sort,pior,10000,4.66171875
insertion_sort,pior,20000,18.64921875
insertion_sort,pior,50000,121.66875
merge_sort,medio,1,0.00078125
merge_sort,medio,4,0.0
merge_sort,medio,16,0.0
merge_sort,medio,64,0.0
merge_sort,medio,256,0.0
merge_sort,medio,1024,0.00234375
merge_sort,medio,4096,0.01328125
merge_sort,medio,16384,0.07109375
merge_sort,medio,65536,0.28359375
merge_sort,medio,262144,1.2421875
merge_sort,medio,1048576,5.62109375
merge_sort,melhor,1,0.0
merge_sort,melhor,4,0.0
merge_sort,melhor,16,0.0
merge_sort,melhor,64,0.0
merge_sort,melhor,256,0.0
merge_sort,melhor,1024,0.003125
merge_sort,melhor,4096,0.009375
merge_sort,melhor,16384,0.06484375
merge_sort,melhor,65536,0.20234375
merge_sort,melhor,262144,0.88984375
merge_sort,melhor,1048576,3.77890625
merge_sort,pior,1,0.00078125
merge_sort,pior,4,0.0
merge_sort,pior,16,0.0
merge_sort,pior,64,0.0
merge_sort,pior,256,0.00078125
merge_sort,pior,1024,0.00234375
merge_sort,pior,4096,0.00859375
merge_sort,pior,16384,0.05546875
merge_sort,pior,65536,0.1984375
merge_sort,pior,262144,0.86015625
merge_sort,pior,1048576,3.7
quick_sort,medio,1,0.0
quick_sort,medio,4,0.0
quick_sort,medio,16,0.0
quick_sort,medio,64,0.0
quick_sort,medio,256,0.0
quick_sort,medio,1024,0.0015625
quick_sort,medio,4096,0.0109375
quick_sort,medio,16384,0.05078125
quick_sort,medio,65536,0.22578125
quick_sort,medio,262144,1.009375
quick_sort,medio,1048576,4.9203125
quick_sort,melhor,1,0.0
quick_sort,melhor,4,0.0
quick_sort,melhor,16,0.0
quick_sort,melhor,64,0.0
quick_sort,melhor,256,0.0
quick_sort,melhor,1024,0.00078125
quick_sort,melhor,4096,0.00546875
quick_sort,melhor,16384,0.03359375
quick_sort,melhor,65536,0.15625
quick_sort,melhor,262144,0.75625
quick_sort,melhor,1048576,3.6734375
quick_sort,pior,1,0.00078125
quick_sort,pior,4,0.0
quick_sort,pior,16,0.0
quick_sort,pior,64,0.0
quick_sort,pior,256,0.0
quick_sort,pior,1024,0.00078125
quick_sort,pior,4096,0.00859375
quick_sort,pior,16384,0.0484375
quick_sort,pior,65536,0.1984375
quick_sort,pior,262144,0.85625
quick_sort,pior,1048576,3.69921875
selection_sort,medio,1,0.0
selection_sort,medio,10,0.0
selection_sort,medio,50,0.0
selection_sort,medio,100,0.0
selection_sort,medio,500,0.009375
selection_sort,medio,1000,0.03203125
selection_sort,medio,5000,0.64609375
selection_sort,medio,10000,2.43125
selection_sort,medio,20000,8.9671875
selection_sort,medio,50000,59.82578125
selection_sort,melhor,1,0.0
selection_sort,melhor,10,0.0
selection_sort,melhor,50,0.0
selection_sort,melhor,100,0.0
selection_sort,melhor,500,0.00625
selection_sort,melhor,1000,0.02578125
selection_sort,melhor,5000,0.60078125
selection_sort,melhor,10000,2.31484375
selection_sort,melhor,20000,8.621875
selection_sort,melhor,50000,56.44062500000005
selection_sort,pior,1,0.0
selection_sort,pior,10,0.0
selection_sort,pior,50,0.0
selection_sort,pior,100,0.0
selection_sort,pior,500,0.009375
selection_sort,pior,1000,0.03203125
selection_sort,pior,5000,0.68046875
selection_sort,pior,10000,2.6875
selection_sort,pior,20000,10.536718749999954
selection_sort,pior,50000,64.14218750000005
