algoritmo,caso,tamanho,comparacoes,trocas
heap_sort,medio,1,0.0,0.0
heap_sort,medio,4,6.65,6.35
heap_sort,medio,16,80.85,52.35
heap_sort,medio,64,571.6,330.2
heap_sort,medio,256,3306.1,1824.7
heap_sort,medio,1024,17324.7,9336.45
heap_sort,medio,4096,85660.65,45498.55
heap_sort,medio,16384,408178.95,214767.1
heap_sort,medio,65536,1894774.55,990073.4
heap_sort,medio,262144,8627922.15,4484772.5
heap_sort,medio,1048576,38705714.95,20035895.85
heap_sort,melhor,1,0.0,0.0
heap_sort,melhor,4,7.0,8.0
heap_sort,melhor,16,85.0,58.0
heap_sort,melhor,64,593.0,362.0
heap_sort,melhor,256,3452.0,1972.0
heap_sort,melhor,1024,18060.0,9968.0
heap_sort,melhor,4096,88835.0,48360.0
heap_sort,melhor,16384,421566.0,226058.0
heap_sort,melhor,65536,1948406.0,1034492.0
heap_sort,melhor,262144,8849195.0,4664612.0
heap_sort,melhor,1048576,39624024.0,20803884.0
heap_sort,pior,1,0.0,0.0
heap_sort,pior,4,6.0,4.0
heap_sort,pior,16,72.0,42.0
heap_sort,pior,64,525.0,288.0
heap_sort,pior,256,3106.0,1642.0
heap_sort,pior,1024,16407.0,8542.0
heap_sort,pior,4096,82304.0,42530.0
heap_sort,pior,16384,394520.0,203032.0
heap_sort,pior,65536,1839970.0,941220.0
heap_sort,pior,262144,8397651.0,4287044.0
heap_sort,pior,1048576,37875507.0,19292288.0
