algoritmo,caso,tamanho,cpu_pico
heap_sort,medio,1,0.0
heap_sort,medio,4,0.0
heap_sort,medio,16,0.0
heap_sort,medio,64,0.0
heap_sort,medio,256,0.00078125
heap_sort,medio,1024,0.0015625
heap_sort,medio,4096,0.0171875
heap_sort,medio,16384,0.096875
heap_sort,medio,65536,0.378125
heap_sort,medio,262144,1.79453125
heap_sort,medio,1048576,8.0203125
heap_sort,melhor,1,0.00078125
heap_sort,melhor,4,0.0
heap_sort,melhor,16,0.0
heap_sort,melhor,64,0.0
heap_sort,melhor,256,0.0
heap_sort,melhor,1024,0.00625
heap_sort,melhor,4096,0.02734375
heap_sort,melhor,16384,0.12578125
heap_sort,melhor,65536,0.47890625
heap_sort,melhor,262144,1.9203125
heap_sort,melhor,1048576,7.85390625
heap_sort,pior,1,0.0
heap_sort,pior,4,0.0
heap_sort,pior,16,0.0
heap_sort,pior,64,0.0
heap_sort,pior,256,0.0
heap_sort,pior,1024,0.00546875
heap_sort,pior,4096,0.0296875
heap_sort,pior,16384,0.11875
heap_sort,pior,65536,0.3859375
heap_sort,pior,262144,1.4921875
heap_sort,pior,1048576,6.84296875
