algoritmo,caso,tamanho,comparacoes,trocas
insertion_sort,medio,1,0.0,0.0
insertion_sort,medio,10,31.1,33.2
insertion_sort,medio,50,665.5,668.9
insertion_sort,medio,100,2514.55,2518.5
insertion_sort,medio,500,62563.15,62569.35
insertion_sort,medio,1000,250969.85,250976.55
insertion_sort,medio,5000,6289278.35,6289286.0
insertion_sort,medio,10000,24886834.15,24886842.8
insertion_sort,medio,20000,99905686.25,99905696.2
insertion_sort,medio,50000,624832821.6,624832831.45
insertion_sort,melhor,1,0.0,0.0
insertion_sort,melhor,10,9.0,9.0
insertion_sort,melhor,50,49.0,49.0
insertion_sort,melhor,100,99.0,99.0
insertion_sort,melhor,500,499.0,499.0
insertion_sort,melhor,1000,999.0,999.0
insertion_sort,melhor,5000,4999.0,4999.0
insertion_sort,melhor,10000,9999.0,9999.0
insertion_sort,melhor,20000,19999.0,19999.0
insertion_sort,melhor,50000,49999.0,49999.0
insertion_sort,pior,1,0.0,0.0
insertion_sort,pior,10,45.0,54.0
insertion_sort,pior,50,1225.0,1274.0
insertion_sort,pior,100,4950.0,5049.0
insertion_sort,pior,500,124750.0,125249.0
insertion_sort,pior,1000,499500.0,500499.0
insertion_sort,pior,5000,12497500.0,12502499.0
insertion_sort,pior,10000,49995000.0,50004999.0
insertion_sort,pior,20000,199990000.0,200009999.0
insertion_sort,pior,50000,1249975000.0,1250024999.0
