algoritmo,caso,tamanho,cpu_pico
insertion_sort,medio,1,0.0
insertion_sort,medio,10,0.0
insertion_sort,medio,50,0.0
insertion_sort,medio,100,0.0
insertion_sort,medio,500,0.009375
insertion_sort,medio,1000,0.04140625
insertion_sort,medio,5000,0.72265625
insertion_sort,medio,10000,3.04765625
insertion_sort,medio,20000,10.8828125
insertion_sort,medio,50000,60.181249999999956
insertion_sort,melhor,1,0.00078125
insertion_sort,melhor,10,0.0
insertion_sort,melhor,50,0.0
insertion_sort,melhor,100,0.0
insertion_sort,melhor,500,0.0
insertion_sort,melhor,1000,0.0
insertion_sort,melhor,5000,0.0
insertion_sort,melhor,10000,0.00078125
insertion_sort,melhor,20000,0.0015625
insertion_sort,melhor,50000,0.00625
insertion_sort,pior,1,0.0
insertion_sort,pior,10,0.0
insertion_sort,pior,50,0.0
insertion_sort,pior,100,0.0
insertion_sort,pior,500,0.01015625
insertion_sort,pior,1000,0.05078125
insertion_sort,pior,5000,1.18046875
insertion_sort,pior,10000,4.66171875
insertion_sort,pior,20000,18.64921875
insertion_sort,pior,50000,121.66875
