algoritmo,caso,tamanho,comparacoes,trocas
merge_sort,medio,1,0.0,0.0
merge_sort,medio,4,4.7,8.0
merge_sort,medio,16,46.1,64.0
merge_sort,medio,64,304.4,384.0
merge_sort,medio,256,1726.6,2048.0
merge_sort,medio,1024,8952.55,10240.0
merge_sort,medio,4096,43989.0,49152.0
merge_sort,medio,16384,208670.05,229376.0
merge_sort,medio,65536,965687.35,1048576.0
merge_sort,medio,262144,4387176.9,4718592.0
merge_sort,medio,1048576,19645716.2,20971520.0
merge_sort,melhor,1,0.0,0.0
merge_sort,melhor,4,4.0,8.0
merge_sort,melhor,16,32.0,64.0
merge_sort,melhor,64,192.0,384.0
merge_sort,melhor,256,1024.0,2048.0
merge_sort,melhor,1024,5120.0,10240.0
merge_sort,melhor,4096,24576.0,49152.0
merge_sort,melhor,16384,114688.0,229376.0
merge_sort,melhor,65536,524288.0,1048576.0
merge_sort,melhor,262144,2359296.0,4718592.0
merge_sort,melhor,1048576,10485760.0,20971520.0
merge_sort,pior,1,0.0,0.0
merge_sort,pior,4,4.0,8.0
merge_sort,pior,16,32.0,64.0
merge_sort,pior,64,192.0,384.0
merge_sort,pior,256,1024.0,2048.0
merge_sort,pior,1024,5120.0,10240.0
merge_sort,pior,4096,24576.0,49152.0
merge_sort,pior,16384,114688.0,229376.0
merge_sort,pior,65536,524288.0,1048576.0
merge_sort,pior,262144,2359296.0,4718592.0
merge_sort,pior,1048576,10485760.0,20971520.0
