algoritmo,caso,tamanho,cpu_pico
merge_sort,medio,1,0.00078125
merge_sort,medio,4,0.0
merge_sort,medio,16,0.0
merge_sort,medio,64,0.0
merge_sort,medio,256,0.0
merge_sort,medio,1024,0.00234375
merge_sort,medio,4096,0.01328125
merge_sort,medio,16384,0.07109375
merge_sort,medio,65536,0.28359375
merge_sort,medio,262144,1.2421875
merge_sort,medio,1048576,5.62109375
merge_sort,melhor,1,0.0
merge_sort,melhor,4,0.0
merge_sort,melhor,16,0.0
merge_sort,melhor,64,0.0
merge_sort,melhor,256,0.0
merge_sort,melhor,1024,0.003125
merge_sort,melhor,4096,0.009375
merge_sort,melhor,16384,0.06484375
merge_sort,melhor,65536,0.20234375
merge_sort,melhor,262144,0.88984375
merge_sort,melhor,1048576,3.77890625
merge_sort,pior,1,0.00078125
merge_sort,pior,4,0.0
merge_sort,pior,16,0.0
merge_sort,pior,64,0.0
merge_sort,pior,256,0.00078125
merge_sort,pior,1024,0.00234375
merge_sort,pior,4096,0.00859375
merge_sort,pior,16384,0.05546875
merge_sort,pior,65536,0.1984375
merge_sort,pior,262144,0.86015625
merge_sort,pior,1048576,3.7
