algoritmo,caso,tamanho,comparacoes,trocas
quick_sort,medio,1,0.0,0.0
quick_sort,medio,4,5.15,7.15
quick_sort,medio,16,50.85,47.5
quick_sort,medio,64,362.3,253.9
quick_sort,medio,256,2166.15,1402.2
quick_sort,medio,1024,11388.85,7186.45
quick_sort,medio,4096,57525.55,33832.85
quick_sort,medio,16384,272451.8,157810.6
quick_sort,medio,65536,1270842.95,726785.1
quick_sort,medio,262144,5832268.3,3281231.8
quick_sort,medio,1048576,26006980.75,14482642.5
quick_sort,melhor,1,0.0,0.0
quick_sort,melhor,4,4.65,6.75
quick_sort,melhor,16,52.9,48.55
quick_sort,melhor,64,355.0,265.75
quick_sort,melhor,256,2111.15,1464.25
quick_sort,melhor,1024,11349.25,7161.2
quick_sort,melhor,4096,57217.9,34192.55
quick_sort,melhor,16384,270247.4,155453.1
quick_sort,melhor,65536,1256863.25,720628.3
quick_sort,melhor,262144,5809019.95,3289658.0
quick_sort,melhor,1048576,26007396.45,14383428.35
quick_sort,pior,1,0.0,0.0
quick_sort,pior,4,4.4,6.0
quick_sort,pior,16,51.9,46.4
quick_sort,pior,64,365.1,262.8
quick_sort,pior,256,2115.75,1369.8
quick_sort,pior,1024,11448.4,7104.15
quick_sort,pior,4096,56650.35,33809.55
quick_sort,pior,16384,272434.05,157356.35
quick_sort,pior,65536,1276157.95,729204.5
quick_sort,pior,262144,5824783.6,3295214.5
quick_sort,pior,1048576,25915489.8,14491655.8
