algoritmo,caso,tamanho,cpu_pico
quick_sort,medio,1,0.0
quick_sort,medio,4,0.0
quick_sort,medio,16,0.0
quick_sort,medio,64,0.0
quick_sort,medio,256,0.0
quick_sort,medio,1024,0.0015625
quick_sort,medio,4096,0.0109375
quick_sort,medio,16384,0.05078125
quick_sort,medio,65536,0.22578125
quick_sort,medio,262144,1.009375
quick_sort,medio,1048576,4.9203125
quick_sort,melhor,1,0.0
quick_sort,melhor,4,0.0
quick_sort,melhor,16,0.0
quick_sort,melhor,64,0.0
quick_sort,melhor,256,0.0
quick_sort,melhor,1024,0.00078125
quick_sort,melhor,4096,0.00546875
quick_sort,melhor,16384,0.03359375
quick_sort,melhor,65536,0.15625
quick_sort,melhor,262144,0.75625
quick_sort,melhor,1048576,3.6734375
quick_sort,pior,1,0.00078125
quick_sort,pior,4,0.0
quick_sort,pior,16,0.0
quick_sort,pior,64,0.0
quick_sort,pior,256,0.0
quick_sort,pior,1024,0.00078125
quick_sort,pior,4096,0.00859375
quick_sort,pior,16384,0.0484375
quick_sort,pior,65536,0.1984375
quick_sort,pior,262144,0.85625
quick_sort,pior,1048576,3.69921875
