algoritmo,caso,tamanho,repeticao,tempo_execucao,cpu_pico,comparacoes,trocas,particoes,profundidade_recursao,heapificacoes
quick_sort,melhor,1,1,4.100031219422817e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,2,4.00003045797348e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,3,3.400025889277458e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,4,2.500019036233425e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,5,2.500019036233425e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,6,2.5999615900218487e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,7,9.600014891475439e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,8,5.89998671784997e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,9,3.1999661587178707e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,10,2.600019797682762e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,11,2.6999623514711857e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,12,2.3999600671231747e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,13,3.300025127828121e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,14,2.800021320581436e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,15,3.7999707274138927e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,16,3.600027412176132e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,17,3.0999653972685337e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,18,2.700020559132099e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,19,4.500034265220165e-06,0.0,0,0,0.0,0,
quick_sort,melhor,1,20,9.000010322779417e-06,0.0,0,0,0.0,0,
quick_sort,melhor,4,1,4.2599975131452084e-05,0.0,4,5,2.0,2,
quick_sort,melhor,4,2,2.039998071268201e-05,0.0,4,6,2.0,2,
quick_sort,melhor,4,3,9.800016414374113e-06,0.0,5,8,2.0,2,
quick_sort,melhor,4,4,8.000002708286047e-06,0.0,4,6,2.0,2,
quick_sort,melhor,4,5,0.00046579999616369605,0.0,4,6,2.0,2,
quick_sort,melhor,4,6,3.4400029107928276e-05,0.0,4,5,2.0,2,
quick_sort,melhor,4,7,2.4900014977902174e-05,0.0,4,6,2.0,2,
quick_sort,melhor,4,8,1.6300007700920105e-05,0.0,4,5,2.0,2,
quick_sort,melhor,4,9,1.2999982573091984e-05,0.0,4,5,2.0,2,
quick_sort,melhor,4,10,1.3400043826550245e-05,0.0,6,9,3.0,3,
quick_sort,melhor,4,11,3.2800016924738884e-05,0.0,5,8,2.0,2,
