algoritmo,caso,tamanho,cpu_pico
selection_sort,medio,1,0.0
selection_sort,medio,10,0.0
selection_sort,medio,50,0.0
selection_sort,medio,100,0.0
selection_sort,medio,500,0.009375
selection_sort,medio,1000,0.03203125
selection_sort,medio,5000,0.64609375
selection_sort,medio,10000,2.43125
selection_sort,medio,20000,8.9671875
selection_sort,medio,50000,59.82578125
selection_sort,melhor,1,0.0
selection_sort,melhor,10,0.0
selection_sort,melhor,50,0.0
selection_sort,melhor,100,0.0
selection_sort,melhor,500,0.00625
selection_sort,melhor,1000,0.02578125
selection_sort,melhor,5000,0.60078125
selection_sort,melhor,10000,2.31484375
selection_sort,melhor,20000,8.621875
selection_sort,melhor,50000,56.44062500000005
selection_sort,pior,1,0.0
selection_sort,pior,10,0.0
selection_sort,pior,50,0.0
selection_sort,pior,100,0.0
selection_sort,pior,500,0.009375
selection_sort,pior,1000,0.03203125
selection_sort,pior,5000,0.68046875
selection_sort,pior,10000,2.6875
selection_sort,pior,20000,10.536718749999954
selection_sort,pior,50000,64.14218750000005
