,,,repeticao,repeticao,repeticao,repeticao,tempo_execucao,tempo_execucao,tempo_execucao,tempo_execucao,cpu_pico,cpu_pico,cpu_pico,cpu_pico,comparacoes,comparacoes,comparacoes,comparacoes,trocas,trocas,trocas,trocas,particoes,particoes,particoes,particoes,profundidade_recursao,profundidade_recursao,profundidade_recursao,profundidade_recursao,heapificacoes,heapificacoes,heapificacoes,heapificacoes
,,,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
algoritmo,caso,tamanho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heap_sort,medio,1,10.5,5.916079783099616,1,20,6.249992293305695e-06,3.7560492354968993e-06,2.500019036233425e-06,1.550000160932541e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0
heap_sort,medio,4,10.5,5.916079783099616,1,20,1.4339995686896145e-05,1.5332265091866242e-05,6.399990525096655e-06,6.559997564181685e-05,0.0,0.0,0.0,0.0,6.65,0.48936048492959316,6,7,6.35,0.9880869341680841,4,8,,,,,2.35,0.48936048492959294,2,3,8.35,0.9880869341680844,6.0,10.0
heap_sort,medio,16,10.5,5.916079783099616,1,20,3.8919993676245214e-05,1.540134762424387e-05,2.400000812485814e-05,9.429996134713292e-05,0.0,0.0,0.0,0.0,80.85,1.5652475842498523,78,84,52.35,1.814415956487898,49,56,,,,,4.1,0.3077935056255462,4,5,60.35,1.814415956487898,57.0,64.0
heap_sort,medio,64,10.5,5.916079783099616,1,20,0.00016180000384333,3.4930984389280795e-05,0.0001185999717563,0.000208500016015,0.0,0.0,0.0,0.0,571.6,5.174837907453831,562,580,330.2,4.237675629026144,322,335,,,,,6.05,0.22360679774997894,6,7,362.2,4.237675629026144,354.0,367.0
heap_sort,medio,256,10.5,5.916079783099616,1,20,0.000853610000922295,0.00015447239493062055,0.0006652000010944,0.0010829000384546,0.00078125,0.0034938562148434213,0.0,0.015625,3306.1,18.741735020508294,3275,3346,1824.7,12.97000588402251,1801,1849,,,,,8.0,0.0,8,8,1952.7,12.97000588402251,1929.0,1977.0
heap_sort,medio,1024,10.5,5.916079783099616,1,20,0.00408013000851492,0.00042205403669329613,0.0036313000018708,0.0054094999795779,0.0015625,0.004809273525399159,0.0,0.015625,17324.7,31.27147683045829,17270,17396,9336.45,24.193246121484428,9294,9395,,,,,10.0,0.0,10,10,9848.45,24.193246121484428,9806.0,9907.0
heap_sort,medio,4096,10.5,5.916079783099616,1,20,0.018642199996975195,0.0005859997379229583,0.0174931000219658,0.0197908999980427,0.0171875,0.006987712429686842,0.0,0.03125,85660.65,53.09105881705434,85549,85760,45498.55,53.27927907683641,45414,45610,,,,,12.0,0.0,12,12,47546.55,53.27927907683641,47462.0,47658.0
heap_sort,medio,16384,10.5,5.916079783099616,1,20,0.09865382000571113,0.015650327578726083,0.0829572000075131,0.144915500015486,0.096875,0.015707021560938592,0.078125,0.140625,408178.95,133.96443950777046,407951,408403,214767.1,85.75724612624978,214570,214876,,,,,14.0,0.0,14,14,222959.1,85.75724612624978,222762.0,223068.0
heap_sort,medio,65536,10.5,5.916079783099616,1,20,0.3878601100033848,0.030654629843451613,0.3526772999903187,0.4803408000152558,0.378125,0.027110731755446767,0.34375,0.453125,1894774.55,242.34088105717413,1894277,1895132,990073.4,160.03335178710734,989795,990364,,,,,16.0,0.0,16,16,1022841.4,160.03335178710734,1022563.0,1023132.0
heap_sort,medio,262144,10.5,5.916079783099616,1,20,1.8063473499933025,0.21376611257608974,1.5759366999845952,2.250912899966352,1.79453125,0.2582556995951015,1.484375,2.484375,8627922.15,520.1714570570367,8626789,8628555,4484772.5,305.37405880227834,4484254,4485308,,,,,18.0,0.0,18,18,4615844.5,305.37405880227834,4615326.0,4616380.0
heap_sort,medio,1048576,10.5,5.916079783099616,1,20,8.090789050012244,0.31497350203974894,7.746428500046022,9.154708700021729,8.0203125,0.31581709891502896,7.65625,9.078125,38705714.95,978.0616962031777,38704028,38707365,20035895.85,665.9010733396598,20034508,20037036,,,,,20.0,0.0,20,20,20560183.85,665.9010733396598,20558796.0,20561324.0
heap_sort,melhor,1,10.5,5.916079783099616,1,20,0.0007510850060498337,0.0033255582215991103,4.399975296109915e-06,0.0148798000300303,0.00078125,0.0034938562148434213,0.0,0.015625,0.0,0.0,0,0,0.0,0.0,0,0,,,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0
heap_sort,melhor,4,10.5,5.916079783099616,1,20,1.929000427480787e-05,1.0500617733795022e-05,8.90000956133008e-06,4.39999857917428e-05,0.0,0.0,0.0,0.0,7.0,0.0,7,7,8.0,0.0,8,8,,,,,3.0,0.0,3,3,10.0,0.0,10.0,10.0
heap_sort,melhor,16,10.5,5.916079783099616,1,20,4.211501218378544e-05,9.480571730486495e-06,2.7499976567924023e-05,6.009999196976423e-05,0.0,0.0,0.0,0.0,85.0,0.0,85,85,58.0,0.0,58,58,,,,,4.0,0.0,4,4,66.0,0.0,66.0,66.0
heap_sort,melhor,64,10.5,5.916079783099616,1,20,0.000245494997943705,0.00017128451232527032,0.0001572999753989,0.0009554999996908,0.0,0.0,0.0,0.0,593.0,0.0,593,593,362.0,0.0,362,362,,,,,6.0,0.0,6,6,394.0,0.0,394.0,394.0
heap_sort,melhor,256,10.5,5.916079783099616,1,20,0.001031405001413035,0.00023637926876228453,0.0008045000140555,0.0014003000105731,0.0,0.0,0.0,0.0,3452.0,0.0,3452,3452,1972.0,0.0,1972,1972,,,,,8.0,0.0,8,8,2100.0,0.0,2100.0,2100.0
heap_sort,melhor,1024,10.5,5.916079783099616,1,20,0.006369399986579034,0.0014542176720745905,0.0042400999809615,0.0087325999629683,0.00625,0.007853510780469291,0.0,0.015625,18060.0,0.0,18060,18060,9968.0,0.0,9968,9968,,,,,10.0,0.0,10,10,10480.0,0.0,10480.0,10480.0
heap_sort,melhor,4096,10.5,5.916079783099616,1,20,0.03288088999979658,0.004483595325568327,0.0258772000088356,0.0453426999738439,0.02734375,0.011192974990802795,0.0,0.046875,88835.0,0.0,88835,88835,48360.0,0.0,48360,48360,,,,,12.0,0.0,12,12,50408.0,0.0,50408.0,50408.0
heap_sort,melhor,16384,10.5,5.916079783099616,1,20,0.1312323849968379,0.01579878255734035,0.1117076000082306,0.1688440999714657,0.12578125,0.016407228980816577,0.09375,0.15625,421566.0,0.0,421566,421566,226058.0,0.0,226058,226058,,,,,14.0,0.0,14,14,234250.0,0.0,234250.0,234250.0
heap_sort,melhor,65536,10.5,5.916079783099616,1,20,0.48723524999513756,0.05603674885396598,0.4005775999976322,0.6317517999559641,0.47890625,0.057415511082188786,0.390625,0.640625,1948406.0,0.0,1948406,1948406,1034492.0,0.0,1034492,1034492,,,,,16.0,0.0,16,16,1067260.0,0.0,1067260.0,1067260.0
heap_sort,melhor,262144,10.5,5.916079783099616,1,20,1.9491841200040654,0.20913135126075474,1.551199700043071,2.3869502000161447,1.9203125,0.20628862277924537,1.546875,2.359375,8849195.0,0.0,8849195,8849195,4664612.0,0.0,4664612,4664612,,,,,18.0,0.0,18,18,4795684.0,0.0,4795684.0,4795684.0
heap_sort,melhor,1048576,10.5,5.916079783099616,1,20,7.950783534999937,0.6482742038977672,7.385968099988531,9.78072159999283,7.85390625,0.6050957838963557,7.3125,9.546875,39624024.0,0.0,39624024,39624024,20803884.0,0.0,20803884,20803884,,,,,20.0,0.0,20,20,21328172.0,0.0,21328172.0,21328172.0
heap_sort,pior,1,10.5,5.916079783099616,1,20,9.069996303878725e-06,4.232589416641687e-06,4.499976057559252e-06,2.2899999748915437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0
heap_sort,pior,4,10.5,5.916079783099616,1,20,1.718499988783151e-05,1.0335347677599538e-05,9.100011084228754e-06,5.850003799423576e-05,0.0,0.0,0.0,0.0,6.0,0.0,6,6,4.0,0.0,4,4,,,,,2.0,0.0,2,2,6.0,0.0,6.0,6.0
heap_sort,pior,16,10.5,5.916079783099616,1,20,3.9004985592328015e-05,6.650639235839917e-06,2.7799978852272037e-05,5.479995161294937e-05,0.0,0.0,0.0,0.0,72.0,0.0,72,72,42.0,0.0,42,42,,,,,4.0,0.0,4,4,50.0,0.0,50.0,50.0
heap_sort,pior,64,10.5,5.916079783099616,1,20,0.00021125500206830498,6.010062301210051e-05,0.0001174999633803,0.0003328999737277,0.0,0.0,0.0,0.0,525.0,0.0,525,525,288.0,0.0,288,288,,,,,6.0,0.0,6,6,320.0,0.0,320.0,320.0
heap_sort,pior,256,10.5,5.916079783099616,1,20,0.001092959992820345,0.00013916699668474898,0.0007083999807946,0.0013747999910265,0.0,0.0,0.0,0.0,3106.0,0.0,3106,3106,1642.0,0.0,1642,1642,,,,,8.0,0.0,8,8,1770.0,0.0,1770.0,1770.0
heap_sort,pior,1024,10.5,5.916079783099616,1,20,0.00606130000087427,0.0010309256593438742,0.0039502999861724,0.0082089999923482,0.00546875,0.007646257577024889,0.0,0.015625,16407.0,0.0,16407,16407,8542.0,0.0,8542,8542,,,,,10.0,0.0,10,10,9054.0,0.0,9054.0,9054.0
heap_sort,pior,4096,10.5,5.916079783099616,1,20,0.031059494998771652,0.0026398119175038855,0.0253003999823704,0.0359401000314392,0.0296875,0.0069877124296868435,0.015625,0.046875,82304.0,0.0,82304,82304,42530.0,0.0,42530,42530,,,,,12.0,0.0,12,12,44578.0,0.0,44578.0,44578.0
heap_sort,pior,16384,10.5,5.916079783099616,1,20,0.1280141400027787,0.019455788730996057,0.1005948000238277,0.167957599973306,0.11875,0.02232847633098053,0.078125,0.15625,394520.0,0.0,394520,394520,203032.0,0.0,203032,203032,,,,,14.0,0.0,14,14,211224.0,0.0,211224.0,211224.0
heap_sort,pior,65536,10.5,5.916079783099616,1,20,0.4044762650009943,0.06244691759936175,0.3369160000002011,0.6026736999629065,0.3859375,0.06000359775397682,0.3125,0.5625,1839970.0,0.0,1839970,1839970,941220.0,0.0,941220,941220,,,,,16.0,0.0,16,16,973988.0,0.0,973988.0,973988.0
heap_sort,pior,262144,10.5,5.916079783099616,1,20,1.5077566050109454,0.11089692331696073,1.4197068000212312,1.9037667000084184,1.4921875,0.10854951650235357,1.375,1.875,8397651.0,0.0,8397651,8397651,4287044.0,0.0,4287044,4287044,,,,,18.0,0.0,18,18,4418116.0,0.0,4418116.0,4418116.0
heap_sort,pior,1048576,10.5,5.916079783099616,1,20,6.912401439997484,0.6260869089182559,6.361087700002827,8.62540399999125,6.84296875,0.6023757745855707,6.296875,8.484375,37875507.0,0.0,37875507,37875507,19292288.0,0.0,19292288,19292288,,,,,20.0,0.0,20,20,19816576.0,0.0,19816576.0,19816576.0
insertion_sort,medio,1,10.5,5.916079783099616,1,20,1.6800005687396075e-05,6.186978822285687e-05,1.800013706088066e-06,0.0002795999753288,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,0.0,0.0,0,0,,,,
